,activity_rate,mean_norm_activation,cv,top_smiles
68,0.0204,0.34013587,0.5695163607597351,"['COc1cc(C#N)ccc1OCCOc1ccc(C#N)cc1', 'CCOc1ccccc1OCCOc1cccc(C#N)c1', 'CC(=O)N1CCN(Cc2ccc(C#N)cc2F)CC1', 'CC(Nc1c(F)cc(C#N)cc1F)c1ccccn1', 'CCOC(=O)Cn1nc(C#N)cc1-c1ccccc1', 'Cc1ccc2nc(N3CCCCC3)c(C#N)cc2c1', 'C#CCN1CCN(Cc2cc(C#N)ccc2F)CC1', 'CCc1ccc2ncc(C#N)c(N3CCCC3)c2c1', 'COc1ccc2nc(C(F)(F)Cl)c(C#N)c(N)c2c1', 'Cc1cc(SCc2ccc(C#N)cc2)nc(C)n1']"
69,1e-04,0.0,0.0,[]
70,1e-04,0.0,0.0,[]
71,1e-04,0.0,0.0,[]
72,1e-04,0.0,0.0,[]
73,1e-04,0.0,0.0,[]
74,1e-04,0.0,0.0,[]
75,0.0023,0.21561332,0.9575793147087097,"['O=C(Nc1ccccc1)c1c(F)c(F)c(F)c(F)c1F', 'COc1cc(C#N)ccc1OC(=O)c1cc(F)c(F)c(F)c1F', 'COC(=O)Cc1cc(C)nc2c(F)c(F)c(F)cc12', 'CCCOC(=O)CCC(=O)c1cc(F)c(F)c(F)c1', 'CCCN(Cc1ccc(C#N)cc1)C(=O)c1cc(F)c(F)c(F)c1', 'CC(C)(C)C(NC(=O)Nc1cc(F)c(F)c(F)c1)C(N)=O', 'CN(C)C(C(=O)NCc1cc(F)c(F)c(F)c1)c1ccccc1F', 'Cn1ccnc1C(NC(=O)c1cc(F)cc(F)c1)c1ccccc1', 'CS(=O)(=O)c1ccc(C(=O)OCc2ccc(C#N)cc2F)cc1', 'CC1CCC(O)(Cn2cnc3cc(F)c(F)cc3c2=O)CC1']"
76,0.0013,0.4037577,0.48819711804389954,"['O=C1NCCCCC1NC(=O)N1CCCC1C1CCCCC1', 'CC1CC1C(=O)N(CCC#N)CCN1CCOCC1', 'CC(C)(C)OC(=O)N1CCCC1C1CCCC1=O', 'CCCCCNC(=O)N1CCCCC1CN1CCOCC1', 'CCC1C(=O)NCCN1C(=O)C(C)CC1CCCC1', 'O=C1C2CC(O)CCN2C(=O)CN1CCCN1CCOCC1', 'COC(=O)C1CC(O)CN1CCC(=O)N1CCCCC1', 'CC1CCCCN1C(=O)C1CC(=O)N(C2CCOCC2)C1', 'O=C(C1CCOC1)N1CCCC1C1CCCCC1', 'CC(C)C1C(=O)NCCN1C(=O)NCC1CN2CCCCC2CO1']"
77,1e-04,0.0,0.0,[]
78,1e-04,0.0,0.0,[]
79,0.0026,0.532212,0.4195529520511627,"['Cc1c(Br)cccc1Cn1nnnc1C', 'Fc1c(Cl)ccc2c1C(c1nccs1)NCC2', 'Cc1c(Cl)cccc1NC(=O)CCn1cccc1', 'Cc1c(Cl)cccc1NC(=O)c1cnc2sccn2c1=O', 'Cc1c(F)c(F)c(C(=O)N2CCN(C)CC2)c(C)c1Cl', 'Cc1c(Cl)cccc1S(=O)(=O)NCCN1CCOCC1', 'Cc1c(N)cc2c(c1C)OC(c1cccs1)CC2=O', 'Cc1c(O)ccc2c1C(C(O)Cc1ccccc1)NCC2', 'Nc1c(F)cccc1C(=O)N1CCCc2ccccc21', 'Cc1c(Cl)cccc1-n1nc(C#N)c(=O)cc1C']"
80,0.219,0.1858105,0.7516502737998962,"['OCC1(c2nc(C3CCOCC3)nn2-c2cccc3c2CCC3)CC1', 'C=CCC1(CO)CCCN(C(=O)CCc2n[nH]c3c2CCCC3)C1', 'O=C1CC(=O)CC(c2ccccc2C(F)(F)F)C1', 'COCCCC1(CO)CCCN(C(=O)CC2CCCC2)C1', 'O=C(CCNC(=O)C1CCCC1)NCC1CCCc2ccccc21', 'O=C(CCc1ccccc1)C1CCCN(C(=O)Cc2cccnc2)C1', 'Cc1ncnc2c1CN(C(=O)CCC1CCCCC1)CC2', 'CC1(C)CC(=O)c2cnc3nc(C4CCCCC4)nn3c2C1', 'O=C1CN(C(=O)CNC(=O)CC23CC4CC(CC(C4)C2)C3)CCN1', 'O=C(CC1CCCCC1)N1CCCC1c1nnc2n1CCCCC2']"
81,0.0002,0.5,0.0,"['Cc1cn2c3c(=O)n(C)c(=O)n(C)c3nc2n1C1CCCCC1', 'CC1(C)Cc2nc3sc4c(=O)[nH]c(=O)[nH]c4c3cc2CO1']"
82,0.0004,0.4183603,0.729326069355011,"['O=C(NC1CCCCCC1)c1ccc2c(c1)nc1n2CCOC1', 'CCOC(=O)C(C)NC(=O)c1c(C)oc2ncn(C)c(=O)c12', 'O=C(Nc1ccccc1)c1noc2ncnc(N3CCOCC3)c12', 'COc1ccccc1COCC(O)Cn1cnc2cc(F)c(F)cc21']"
